area,x1,x2,y1,y2,x,y,color,label,dim_x,dim_y,dim_x_y_code,device_group,gi,gj
441.0,18963.0,18984.0,7833.0,7854.0,18973.5,7843.5,#acc2d9,0_45,21.0,21.0,21.0_21.0,0,24,72
441.0,16737.0,16758.0,9261.0,9282.0,16747.5,9271.5,#acc2d9,0_123,21.0,21.0,21.0_21.0,0,24,73
882.0,17325.0,17367.0,1323.0,1344.0,17346.0,1333.5,#acc2d9,2_10,42.0,21.0,42.0_21.0,0,39,0
882.0,11823.0,11865.0,8295.0,8316.0,11844.0,8305.5,#56ae57,2_0,42.0,21.0,42.0_21.0,1,46,0
882.0,11928.0,11949.0,1512.0,1554.0,11938.5,1533.0,#acc2d9,1_8,21.0,42.0,21.0_42.0,0,25,0
882.0,2289.0,2310.0,8358.0,8400.0,2299.5,8379.0,#56ae57,1_19,21.0,42.0,21.0_42.0,1,31,0
882.0,3108.0,3150.0,1323.0,1344.0,3129.0,1333.5,#56ae57,2_22,42.0,21.0,42.0_21.0,1,46,1
882.0,3003.0,3045.0,9156.0,9177.0,3024.0,9166.5,#56ae57,2_17,42.0,21.0,42.0_21.0,1,46,2
882.0,11865.0,11907.0,1596.0,1617.0,11886.0,1606.5,#acc2d9,2_16,42.0,21.0,42.0_21.0,0,39,1
882.0,14994.0,15036.0,21.0,42.0,15015.0,31.5,#acc2d9,2_5,42.0,21.0,42.0_21.0,0,39,2
882.0,11718.0,11739.0,8841.0,8883.0,11728.5,8862.0,#56ae57,1_22,21.0,42.0,21.0_42.0,1,31,1
882.0,3339.0,3360.0,1470.0,1512.0,3349.5,1491.0,#56ae57,1_9,21.0,42.0,21.0_42.0,1,31,2
882.0,18417.0,18459.0,1932.0,1953.0,18438.0,1942.5,#acc2d9,2_32,42.0,21.0,42.0_21.0,0,39,3
882.0,17514.0,17556.0,1428.0,1449.0,17535.0,1438.5,#acc2d9,2_35,42.0,21.0,42.0_21.0,0,39,4
882.0,11991.0,12012.0,1449.0,1491.0,12001.5,1470.0,#acc2d9,1_4,21.0,42.0,21.0_42.0,0,25,1
882.0,3234.0,3255.0,8988.0,9030.0,3244.5,9009.0,#56ae57,1_18,21.0,42.0,21.0_42.0,1,31,3
882.0,2562.0,2604.0,9156.0,9177.0,2583.0,9166.5,#56ae57,2_14,42.0,21.0,42.0_21.0,1,46,3
882.0,3213.0,3255.0,8253.0,8274.0,3234.0,8263.5,#56ae57,2_26,42.0,21.0,42.0_21.0,1,46,4
882.0,15372.0,15414.0,231.0,252.0,15393.0,241.5,#acc2d9,2_42,42.0,21.0,42.0_21.0,0,39,5
882.0,11844.0,11865.0,2121.0,2163.0,11854.5,2142.0,#56ae57,1_21,21.0,42.0,21.0_42.0,1,31,4
882.0,15141.0,15183.0,105.0,126.0,15162.0,115.5,#acc2d9,2_11,42.0,21.0,42.0_21.0,0,39,6
882.0,12726.0,12768.0,2331.0,2352.0,12747.0,2341.5,#acc2d9,2_38,42.0,21.0,42.0_21.0,0,39,7
882.0,2373.0,2394.0,1617.0,1659.0,2383.5,1638.0,#56ae57,1_24,21.0,42.0,21.0_42.0,1,31,5
882.0,12474.0,12516.0,8169.0,8190.0,12495.0,8179.5,#56ae57,2_43,42.0,21.0,42.0_21.0,1,46,5
882.0,16947.0,16989.0,1113.0,1134.0,16968.0,1123.5,#acc2d9,2_23,42.0,21.0,42.0_21.0,0,39,8
